#OR1
>0.1
1:132668 2:79
1:132696 2:65
1:132686 2:70
1:132688 2:69
1:132696 2:65
1:132642 2:92
1:132690 2:68
1:132664 2:81
1:132658 2:84
1:132682 2:72
>0.2
1:264957 2:347
1:265069 2:291
1:264961 2:345
1:265097 2:277
1:264983 2:334
1:264993 2:329
1:265001 2:325
1:265049 2:301
1:265035 2:308
1:265055 2:298
>0.30000000000000004
1:397167 2:655
1:397057 2:710
1:397031 2:723
1:396987 2:745
1:397067 2:705
1:397023 2:727
1:397167 2:655
1:397151 2:663
1:397117 2:680
1:397075 2:701
>0.4
1:528940 2:1181
1:528682 2:1310
1:528818 2:1242
1:528808 2:1247
1:528742 2:1280
1:528872 2:1215
1:528852 2:1225
1:528784 2:1259
1:528758 2:1272
1:528898 2:1202
>0.5
1:660232 2:1948
1:660392 2:1868
1:660240 2:1944
1:660332 2:1898
1:660262 2:1933
1:660352 2:1888
1:660316 2:1906
1:660208 2:1960
1:660274 2:1927
1:660382 2:1873
>0.6
1:791522 2:2716
1:791390 2:2782
1:791444 2:2755
1:791442 2:2756
1:791370 2:2792
1:791410 2:2772
1:791526 2:2714
1:791418 2:2768
1:791426 2:2764
1:791466 2:2744
>0.7000000000000001
1:922309 2:3735
1:922209 2:3785
1:922163 2:3808
1:922225 2:3777
1:922213 2:3783
1:922133 2:3823
1:922293 2:3743
1:922071 2:3854
1:921943 2:3918
1:922151 2:3814
>0.8
1:1052725 2:4940
1:1052755 2:4925
1:1052843 2:4881
1:1052727 2:4939
1:1052751 2:4927
1:1052849 2:4878
1:1052631 2:4987
1:1052815 2:4895
1:1052751 2:4927
1:1052583 2:5011
>0.9
1:1182900 2:6265
1:1183002 2:6214
1:1182866 2:6282
1:1182960 2:6235
1:1182866 2:6282
1:1182884 2:6273
1:1182840 2:6295
1:1182858 2:6286
1:1182976 2:6227
1:1182860 2:6285
>1.0
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
1:1312792 2:7732
#OR2
>0.1
1:179414 2:154
1:179410 2:156
1:179360 2:181
1:179406 2:158
1:179420 2:151
1:179428 2:147
1:179394 2:164
1:179404 2:159
1:179394 2:164
1:179422 2:150
>0.2
1:358144 2:650
1:358142 2:651
1:358202 2:621
1:358098 2:673
1:358192 2:626
1:358148 2:648
1:358222 2:611
1:358154 2:645
1:358122 2:661
1:358136 2:654
>0.30000000000000004
1:536324 2:1421
1:536128 2:1519
1:536212 2:1477
1:536194 2:1486
1:536290 2:1438
1:536496 2:1335
1:536200 2:1483
1:536178 2:1494
1:536278 2:1444
1:536186 2:1490
>0.4
1:713656 2:2616
1:713584 2:2652
1:713728 2:2580
1:713746 2:2571
1:713754 2:2567
1:713680 2:2604
1:713544 2:2672
1:713702 2:2593
1:713618 2:2635
1:713820 2:2534
>0.5
1:890382 2:4114
1:890314 2:4148
1:890576 2:4017
1:890268 2:4171
1:890430 2:4090
1:890436 2:4087
1:890406 2:4102
1:890228 2:4191
1:890582 2:4014
1:890378 2:4116
>0.6
1:1066411 2:5961
1:1066895 2:5719
1:1066687 2:5823
1:1066767 2:5783
1:1066699 2:5817
1:1066655 2:5839
1:1066763 2:5785
1:1066593 2:5870
1:1066561 2:5886
1:1066689 2:5822
>0.7000000000000001
1:1241973 2:8041
1:1242067 2:7994
1:1241831 2:8112
1:1242187 2:7934
1:1242011 2:8022
1:1242015 2:8020
1:1242003 2:8026
1:1242149 2:7953
1:1241995 2:8030
1:1242053 2:8001
>0.8
1:1416813 2:10482
1:1417047 2:10365
1:1416925 2:10426
1:1416913 2:10432
1:1416925 2:10426
1:1416767 2:10505
1:1416883 2:10447
1:1416755 2:10511
1:1416849 2:10464
1:1417011 2:10383
>0.9
1:1590973 2:13263
1:1591049 2:13225
1:1591019 2:13240
1:1591069 2:13215
1:1591021 2:13239
1:1590951 2:13274
1:1591021 2:13239
1:1591229 2:13135
1:1591205 2:13147
1:1591097 2:13201
>1.0
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
1:1764605 2:16308
#OR3
>0.1
1:259202 2:234
1:259232 2:219
1:259258 2:206
1:259246 2:212
1:259254 2:208
1:259280 2:195
1:259282 2:194
1:259252 2:209
1:259286 2:192
1:259242 2:214
>0.2
1:517745 2:797
1:517657 2:841
1:517719 2:810
1:517567 2:886
1:517581 2:879
1:517681 2:829
1:517747 2:796
1:517681 2:829
1:517713 2:813
1:517733 2:803
>0.30000000000000004
1:775299 2:1855
1:775207 2:1901
1:775223 2:1893
1:775265 2:1872
1:775251 2:1879
1:775355 2:1827
1:775287 2:1861
1:775249 2:1880
1:775355 2:1827
1:775353 2:1828
>0.4
1:1032010 2:3334
1:1031998 2:3340
1:1031918 2:3380
1:1032142 2:3268
1:1032170 2:3254
1:1031894 2:3392
1:1032058 2:3310
1:1031974 2:3352
1:1032084 2:3297
1:1032036 2:3321
>0.5
1:1287912 2:5218
1:1288132 2:5108
1:1288176 2:5086
1:1287924 2:5212
1:1288068 2:5140
1:1288064 2:5142
1:1288064 2:5142
1:1287934 2:5207
1:1287802 2:5273
1:1287970 2:5189
>0.6
1:1542947 2:7535
1:1543279 2:7369
1:1543131 2:7443
1:1543329 2:7344
1:1543365 2:7326
1:1543147 2:7435
1:1543015 2:7501
1:1543101 2:7458
1:1543049 2:7484
1:1543173 2:7422
>0.7000000000000001
1:1797275 2:10206
1:1797099 2:10294
1:1797427 2:10130
1:1797355 2:10166
1:1797187 2:10250
1:1797409 2:10139
1:1797639 2:10024
1:1797451 2:10118
1:1797623 2:10032
1:1797055 2:10316
>0.8
1:2050432 2:13462
1:2050794 2:13281
1:2050768 2:13294
1:2051150 2:13103
1:2050782 2:13287
1:2050564 2:13396
1:2051076 2:13140
1:2050874 2:13241
1:2051016 2:13170
1:2050834 2:13261
>0.9
1:2303436 2:16795
1:2303464 2:16781
1:2303500 2:16763
1:2303498 2:16764
1:2303598 2:16714
1:2303422 2:16802
1:2303602 2:16712
1:2303330 2:16848
1:2303394 2:16816
1:2303764 2:16631
>1.0
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
1:2555253 2:20721
