,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10
IGHD1-1,134659,242774,945053,1043665,187109,557366,436009,146361,411620,156229
IGHD1-20,26893,58625,240838,214335,44832,107023,91263,31794,66816,28692
IGHD1-26,747452,1364858,5816796,5731883,1062466,2567828,2323768,377077,1604307,429369
IGHD1-7,176165,347501,993113,1235394,266968,461174,450525,134748,418355,123833
IGHD2-15,656193,1225054,4750126,4442950,997385,2424592,2092359,1000785,1686413,745948
IGHD2-2,850112,1851889,3853330,8492135,1664011,2477614,2279744,943490,2883558,1214552
IGHD2-21,506833,935273,3061336,3420907,754122,1826736,1627907,514439,1258873,421214
IGHD2-8,462897,678220,2396990,2180472,492227,1159547,1110531,382048,863004,275489
IGHD3-10,1059964,2148960,14860379,11160406,1678916,5107549,3201135,2335771,4139569,1794551
IGHD3-16,614431,1201122,4293452,4235242,841885,1933143,2357512,704728,1564279,507429
IGHD3-22,1506829,3068771,9225303,7457941,2132755,3854318,4050124,425812,2924991,808308
IGHD3-3,771833,2308725,3690445,6486551,1734717,1489826,2812030,491672,1604614,535522
IGHD3-9,271169,617375,3455160,2882304,450567,1219896,777141,630501,1177817,596734
IGHD4-17,559119,1240692,3959463,3833808,771830,2118507,1696119,762192,1234860,579772
IGHD4-4,216228,322141,671548,1029792,259155,423996,474902,94678,296451,87188
IGHD5-12,510664,850687,3775517,3527101,645620,1860685,1344053,642909,1644826,496839
IGHD5-5,512667,1158177,4138972,3309026,812400,1838098,1579749,572108,1101562,633627
IGHD6-13,638253,1671216,6395416,8618566,1054994,3143079,2340589,1357136,2445158,814487
IGHD6-19,1029370,2173816,6534236,6561963,1268327,3602282,2857997,1357294,2042513,1068690
IGHD6-25,64642,127652,782333,501551,83148,239853,186520,81363,230767,60114
IGHD6-6,328998,693788,1913902,2900297,533977,912118,1035717,371208,916434,233625
IGHD7-27,102141,260785,776080,1226536,223426,558496,536609,137106,392021,105312
