,316188,326650,326651,326713,326737,326780,326797,326907,327059,D103
IGHD1_IGHJ1,1066.0,2888.0,4725,31175,1991.0,3145.0,2031.0,1495.0,2953.0,680.0
IGHD1_IGHJ2,1786.0,2553.0,6984,19331,2217.0,8235.0,3278.0,1624.0,4096.0,1114.0
IGHD1_IGHJ3,11865.0,28110.0,106392,200244,33725.0,39676.0,27955.0,21961.0,35658.0,8497.0
IGHD1_IGHJ4,102148.0,194262.0,557934,680213,149114.0,304748.0,267034.0,78604.0,215955.0,66422.0
IGHD1_IGHJ5,24286.0,60909.0,159441,162442,49753.0,67072.0,61509.0,17989.0,86800.0,22267.0
IGHD1_IGHJ6,35014.0,58779.0,157637,141989,30168.0,38298.0,88718.0,13075.0,72893.0,24853.0
IGHD2_IGHJ1,4738.0,5346.0,16487,37818,5453.0,21616.0,7903.0,4212.0,6358.0,2438.0
IGHD2_IGHJ2,5374.0,7718.0,22354,34535,6796.0,26409.0,8271.0,12587.0,9422.0,4876.0
IGHD2_IGHJ3,27156.0,68470.0,263992,327761,58760.0,132957.0,69088.0,38684.0,81036.0,22255.0
IGHD2_IGHJ4,298015.0,387704.0,1317445,1198009,279862.0,704630.0,719178.0,234485.0,420903.0,140779.0
IGHD2_IGHJ5,69885.0,103639.0,375549,309015,82828.0,172589.0,146981.0,60112.0,189608.0,50812.0
IGHD2_IGHJ6,57729.0,105343.0,401163,273334,58528.0,101346.0,159110.0,31968.0,155677.0,54329.0
IGHD3_IGHJ1,2164.0,4277.0,22523,53861,3922.0,12725.0,5090.0,8140.0,6181.0,6078.0
IGHD3_IGHJ2,3814.0,5462.0,43787,52397,4330.0,17080.0,4904.0,8011.0,14404.0,5669.0
IGHD3_IGHJ3,18696.0,53785.0,418622,426024,54494.0,143215.0,49327.0,84635.0,91299.0,49822.0
IGHD3_IGHJ4,167915.0,359296.0,1867247,1517068,258563.0,757706.0,436523.0,376468.0,621770.0,349324.0
IGHD3_IGHJ5,46137.0,97431.0,603264,395741,81700.0,167021.0,149249.0,84434.0,204150.0,87103.0
IGHD3_IGHJ6,32443.0,97124.0,499717,437213,47558.0,122149.0,132048.0,68813.0,240013.0,98738.0
IGHD4_IGHJ1,5102.0,2019.0,2751,17867,3505.0,3306.0,1467.0,1364.0,2423.0,551.0
IGHD4_IGHJ2,1606.0,2299.0,9306,14603,2874.0,6313.0,2971.0,1623.0,2095.0,978.0
IGHD4_IGHJ3,9241.0,21234.0,72561,120100,17627.0,34242.0,17409.0,7721.0,16880.0,4651.0
IGHD4_IGHJ4,107845.0,172423.0,382545,569371,135055.0,271950.0,301173.0,63243.0,141332.0,43897.0
IGHD4_IGHJ5,62902.0,52951.0,92851,136896,56991.0,58242.0,61416.0,11435.0,60165.0,14401.0
IGHD4_IGHJ6,29532.0,71215.0,111534,170955,43103.0,49943.0,90466.0,9292.0,73556.0,22710.0
IGHD5_IGHJ1,2830.0,5362.0,15323,22009,4438.0,12001.0,6085.0,4621.0,4413.0,4373.0
IGHD5_IGHJ2,5212.0,8924.0,37763,51136,8534.0,28586.0,10661.0,8906.0,11106.0,8759.0
IGHD5_IGHJ3,28284.0,88959.0,376791,386340,75178.0,131290.0,99534.0,53112.0,52701.0,35784.0
IGHD5_IGHJ4,343217.0,781753.0,2551631,2130900,550219.0,1320051.0,1040025.0,412709.0,628879.0,385633.0
IGHD5_IGHJ5,77182.0,130953.0,495900,326172,98298.0,191692.0,203815.0,54273.0,166016.0,65963.0
IGHD5_IGHJ6,55942.0,142226.0,661564,392469,75733.0,154478.0,219629.0,38487.0,238447.0,133115.0
IGHD6_IGHJ1,2549.0,5742.0,11112,58246,5262.0,10870.0,31571.0,3400.0,6849.0,1738.0
IGHD6_IGHJ2,3031.0,5024.0,13700,44682,4413.0,16402.0,6271.0,3595.0,12823.0,2244.0
IGHD6_IGHJ3,13614.0,39771.0,163401,390290,43112.0,86005.0,90926.0,42334.0,47065.0,18780.0
IGHD6_IGHJ4,213087.0,408266.0,1038341,1619600,321829.0,564556.0,567946.0,228941.0,452875.0,121684.0
IGHD6_IGHJ5,49605.0,120560.0,313831,366848,86517.0,129443.0,165981.0,62369.0,212118.0,38840.0
IGHD6_IGHJ6,47112.0,114425.0,373517,420631,72844.0,104842.0,173022.0,30569.0,184704.0,50339.0
IGHD7_IGHJ1,2792.0,1298.0,2314,7270,886.0,1842.0,2964.0,977.0,1237.0,875.0
IGHD7_IGHJ2,5104.0,5155.0,16230,42199,7537.0,23197.0,9065.0,3918.0,12165.0,1888.0
IGHD7_IGHJ3,9270.0,27268.0,81187,219867,28581.0,66475.0,25891.0,17721.0,46083.0,8428.0
IGHD7_IGHJ4,55944.0,152612.0,456631,666742,136215.0,368599.0,380645.0,87398.0,197684.0,55624.0
IGHD7_IGHJ5,14309.0,38089.0,87428,127855,28786.0,55927.0,67879.0,14897.0,67915.0,15379.0
IGHD7_IGHJ6,14722.0,36363.0,132290,162603,21421.0,42456.0,50165.0,12195.0,66937.0,23118.0
