,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10
IGHV1-18,397104,1246220,4134145,4512092,910104,1406570,1499524,677603,1316882,607644
IGHV1-2,541314,1568416,5811775,3123138,1207709,2414675,910768,795344,1508423,480168
IGHV1-24,109809,237758,753211,1413828,182717,249569,548363,142188,293994,136736
IGHV1-3,555,2065,362333,988831,2682,7293,868695,1511,4051,187086
IGHV1-45,110,2138,9490,5988,1225,963,4649,437,633,473
IGHV1-46,82772,588947,2713298,1588421,441102,837297,1288563,105050,510842,180128
IGHV1-58,6853,39379,109922,221958,45494,120248,110837,27857,19818,28448
IGHV1-69,159540,864947,2733355,4204241,1433192,924301,2026938,274708,1302920,747804
IGHV1-69-2,16968,26,81,74538,75617,118,26,266,925,3200
IGHV1-8,263159,690180,1701462,2295131,571853,5357,635575,552741,774474,265832
IGHV2-26,1469,805,2251,904,6713,8738,1298,119,1138,2615
IGHV2-5,70349,51916,355491,366533,123223,271141,99332,47849,85508,85025
IGHV2-70,12021,20974,50815,65907,30583,92186,22361,5514,18360,7010
IGHV2-70D,265,69,270,613,24587,541,3,2000,10406,6395
IGHV3-11,240757,498394,1439950,1771732,261783,671653,384265,284677,698256,272787
IGHV3-13,20354,78420,176751,270001,1244,153402,140869,98137,190782,40038
IGHV3-15,147456,219752,975293,1286154,233116,950369,611933,148995,493328,237833
IGHV3-20,85109,42842,1100309,279481,291379,209463,48646,29145,200824,15850
IGHV3-21,543755,1162318,4868690,4220367,907802,1724259,1069724,603411,1239635,539641
IGHV3-23,1513498,3468448,8113096,8632445,1482012,4072336,4237562,2284724,4315063,1124709
IGHV3-30,755848,639442,6606004,6007137,675906,1718147,1525594,873426,1438069,822134
IGHV3-30-3,11438,685735,47698,2752272,7621,712783,999438,431,12673,328829
IGHV3-33,183479,620424,52089,848840,243807,1495998,923040,170934,866514,355923
IGHV3-43,35355,29355,241643,172631,169991,380808,45624,9596,180473,6264
IGHV3-43D,3440,35,273098,112501,40158,364,859,45,20725,8022
IGHV3-48,586376,514368,4870465,3315523,636660,2313110,1001167,443957,1012245,361500
IGHV3-49,83470,74012,536244,436320,97358,223256,154857,29232,177139,135935
IGHV3-53,390508,188021,1258828,1745174,195096,882130,1050906,239790,208945,185475
IGHV3-64,64829,82354,475193,409434,107277,660496,41369,45115,134608,27000
IGHV3-64D,41,8,127,52,23,323291,198654,86,80,105862
IGHV3-66,14116,483732,814201,1238618,163191,786912,43115,224060,644904,97375
IGHV3-7,863174,985671,4337973,4643564,801961,1530192,2534304,727671,1878647,632055
IGHV3-72,36899,41299,112345,150199,38499,157556,101097,107497,104471,30209
IGHV3-73,22159,71136,473989,225100,117505,206307,117276,39434,81714,41434
IGHV3-74,493322,398560,1770866,2035017,421388,1811280,1553283,444221,776725,300078
IGHV3-9,147165,663835,1104105,1919092,182952,1719,505211,245673,637019,190862
IGHV3-NL1,1755,7846,94356,129269,3463,15182,10957,3262,10857,2781
IGHV4-28,2579,3207,14985,16127,5091,17517,18409,1410,5312,3484
IGHV4-30-2,839,245292,7899,1475223,1367,105319,373085,44263,114847,91262
IGHV4-30-4,1461,132039,196949,920072,325936,221079,405193,623,199817,176277
IGHV4-31,67380,540667,411,687158,1108,628724,823469,65555,661503,225566
IGHV4-34,651242,2624492,5155928,2147117,994224,1221677,1580595,1112379,1934035,698693
IGHV4-38-2,296006,2819,2162448,1086600,597930,6063,14226,4748,291444,142901
IGHV4-39,830065,783452,6036391,5059147,991679,2179524,1666961,695710,1436316,220431
IGHV4-4,413159,626389,2432985,2753493,511502,1178666,676879,459385,1485718,274517
IGHV4-59,1084002,2329178,5646874,7790755,1046577,3928208,1580213,940595,2286965,464995
IGHV4-61,165346,28989,1588672,1725952,515209,365196,631840,119726,36200,246527
IGHV5-10-1,425,139,556,185,894,440802,135242,159,815,113321
IGHV5-51,300039,726535,2777980,3672136,862544,1734594,1229460,270611,967684,375034
IGHV6-1,48418,279570,857120,832750,329,592297,783507,113833,374364,109452
IGHV7-4-1,30,117,1277038,968964,113,3893,490127,116,158,2661
