,OR1 Spleen,OR1 LN,OR2 Spleen,OR2 LN,OR3 Spleen,OR3 LN
0,1,1,2,1,4,8
1,0,2,1,0,1,1
2,4,8,0,18,12,6
3,14,16,10,17,10,36
4,53,48,532,83,832,228
5,6569,4014,15847,7404,18962,10630
6,12106,6342,27102,17010,34649,29095
7,30483,10589,46900,15291,55528,20904
8,40137,40617,69913,36839,93430,79833
9,83640,68461,135827,85086,173439,97389
10,116188,88900,195715,116636,268429,140187
11,168493,123835,244604,170376,355210,215916
12,178767,126910,242781,147629,369948,188238
13,180970,131049,229456,191017,363661,283511
14,165190,110013,204822,146174,343756,204143
15,74239,63063,101131,80728,178854,114122
16,40848,45636,55565,66702,96494,107005
17,32907,37203,39831,53630,67311,62730
18,15878,27003,23829,38138,38054,42640
19,10453,18173,16198,21018,30467,45829
20,5332,15253,6898,12202,20325,20044
21,2957,3972,4117,6446,11452,8820
22,2083,2866,2007,3076,4176,5487
23,766,1522,1258,1831,2690,3948
24,436,899,478,533,1131,966
25,191,221,220,936,425,825
26,89,65,72,159,171,271
27,26,18,47,54,103,46
28,29,24,15,23,84,39
29,9,3,6,12,16,13
30,2,5,3,0,25,3
31,4,3,3,10,6,4
32,1,0,3,0,4,7
33,5,0,2,0,3,3
34,0,0,0,0,5,4
35,1,1,0,0,1,0
36,1,0,1,0,0,0
37,1,0,1,0,1,0
38,0,1,3,3,0,1
39,1,0,0,0,1,0
40,0,0,0,3,0,2
41,0,1,0,0,0,3
42,0,2,2,0,2,0
43,2,0,0,0,0,1
44,0,0,0,3,0,3
45,0,0,1,1,0,3
46,0,1,1,0,0,1
47,0,0,0,0,2,0
49,1,0,0,0,0,0
51,0,1,0,0,0,0
52,0,0,0,0,0,1
54,0,0,0,0,0,1
57,0,0,0,0,1,0
58,0,0,2,0,0,0
63,0,0,1,0,0,1
66,0,0,0,1,0,0
67,0,0,0,0,1,0
68,0,0,0,0,1,0
73,0,1,0,0,0,0
77,0,0,0,0,0,1
82,0,0,0,1,0,0
101,0,0,1,0,0,0
