,OR1 Spleen,OR1 LN,OR2 Spleen,OR2 LN,OR3 Spleen,OR3 LN
IGHD1-1,43749,39506,41595,53967,37470,89222
IGHD1-20,16901,14234,10761,18705,11764,27079
IGHD1-26,293656,233717,167677,287863,205172,470338
IGHD1-7,8675,9308,7246,11434,8727,17135
IGHD2-15,30966,28595,22818,35603,27263,59593
IGHD2-2,58451,32625,21676,56405,34563,83683
IGHD2-21,36362,23222,14851,26796,28697,38636
IGHD2-8,24608,10452,9808,13796,10562,27011
IGHD3-10,129056,61022,80190,91278,91789,148511
IGHD3-16,46325,27351,21494,36785,30955,59769
IGHD3-22,27179,26799,30791,35199,21775,51150
IGHD3-3,11290,7469,6081,8139,5666,17027
IGHD3-9,73600,32115,36814,56678,88813,89765
IGHD4-17,49500,39112,26760,62665,50515,80471
IGHD4-4,2487,1732,963,3464,1679,4795
IGHD5-12,37970,33187,34683,49508,28585,64911
IGHD5-5,27900,21586,20054,31404,30990,44533
IGHD6-13,208869,160553,102535,224224,138177,301765
IGHD6-19,396052,255525,180642,379485,252690,586512
IGHD6-25,5746,3853,8294,4445,2744,7635
IGHD6-6,9564,4722,5292,7768,4846,10947
IGHD7-27,136807,94261,71298,149665,97627,230274
