,OR1,OR2,OR3
IGHD1_IGHJ1,4656,6049,9848
IGHD1_IGHJ2,6534,9539,14466
IGHD1_IGHJ3,33958,48795,64579
IGHD1_IGHJ4,201414,249136,412609
IGHD1_IGHJ5,30445,30138,50550
IGHD1_IGHJ6,19758,28312,51722
IGHD2_IGHJ1,1657,2298,3782
IGHD2_IGHJ2,4528,5988,7845
IGHD2_IGHJ3,10302,19049,25488
IGHD2_IGHJ4,63065,86490,139730
IGHD2_IGHJ5,8041,9024,14447
IGHD2_IGHJ6,7301,9751,17631
IGHD3_IGHJ1,2165,3616,6994
IGHD3_IGHJ2,5373,8216,10884
IGHD3_IGHJ3,15003,23862,36593
IGHD3_IGHJ4,104864,153530,244704
IGHD3_IGHJ5,13992,17201,32014
IGHD3_IGHJ6,13359,21654,35033
IGHD4_IGHJ1,1382,1591,2347
IGHD4_IGHJ2,2768,4185,5239
IGHD4_IGHJ3,4079,6367,10984
IGHD4_IGHJ4,27480,47220,54241
IGHD4_IGHJ5,2559,2677,5784
IGHD4_IGHJ6,2576,4089,6671
IGHD5_IGHJ1,844,1369,1372
IGHD5_IGHJ2,4122,4161,4155
IGHD5_IGHJ3,5187,9777,14512
IGHD5_IGHJ4,39963,58009,76795
IGHD5_IGHJ5,2588,4274,5711
IGHD5_IGHJ6,2069,3322,6899
IGHD6_IGHJ1,9741,14035,15935
IGHD6_IGHJ2,14883,18071,24794
IGHD6_IGHJ3,43193,67908,90222
IGHD6_IGHJ4,299924,441481,661009
IGHD6_IGHJ5,30650,41347,56923
IGHD6_IGHJ6,26262,33080,57976
IGHD7_IGHJ1,89,92,109
IGHD7_IGHJ2,4897,3780,8483
IGHD7_IGHJ3,19711,30884,42867
IGHD7_IGHJ4,61466,103377,156338
IGHD7_IGHJ5,4436,5720,11003
IGHD7_IGHJ6,3662,5812,11474
