,OR1 Spleen,OR1 LN,OR2 Spleen,OR2 LN,OR3 Spleen,OR3 LN
0,542988,363395,885753,486627,1166657,622860
1,128623,107870,184607,135499,307412,236668
2,123606,105570,153216,140248,248152,177607
3,140595,132019,161509,163318,298649,224954
4,89993,75120,111727,109304,202511,183091
5,48812,42925,58877,56736,101998,95035
6,29856,33663,35964,32627,69725,54483
7,22423,25320,19099,19730,42531,26737
8,12930,15975,13034,19194,24490,19656
9,7468,7713,6532,8736,18084,14829
10,4164,4174,4543,5404,9737,5984
11,2977,1527,2834,10158,6924,3852
12,2398,1876,1971,9625,4466,2932
13,953,612,2214,4071,2825,1412
14,931,518,770,971,1707,1065
15,628,420,583,729,1510,1185
16,426,256,466,324,730,974
17,237,160,250,6618,472,397
18,191,149,484,256,452,477
19,281,129,220,121,645,272
20,91,109,92,165,335,214
21,113,85,127,237,192,168
22,70,58,127,80,125,84
23,46,62,59,59,103,138
24,52,40,38,72,99,67
25,20,36,101,47,35,57
26,18,18,12,22,57,367
27,6,98,14,14,34,29
28,10,2366,19,7,17,21
29,6,22,3,16,23,42
30,15,9,1,14,12,11
31,5,11,7,2,12,2
32,2,2,1,1,6,4
33,2,1,1,0,2,1
34,1,0,3,1,4,6
35,0,0,1,6,4,4
36,0,0,0,0,1,0
37,0,1,2,1,4,0
38,1,3,2,3,0,2
39,1,0,0,0,1,4
40,0,0,0,0,1,0
41,0,0,0,7,0,2
42,0,1,0,3,0,1
43,0,1,0,0,0,0
45,0,1,0,0,0,0
46,0,0,1,0,1,0
47,0,0,0,1,1,0
48,0,0,0,6,0,0
49,0,0,0,0,1,0
50,0,1,0,0,0,0
51,0,0,0,0,3,0
52,1,0,0,0,3,0
54,1,0,0,0,0,0
56,0,0,0,0,2,0
58,0,0,0,0,0,4
60,0,0,0,1,1,0
63,0,0,3,1,1,0
64,0,0,0,1,0,0
67,0,1,0,0,0,0
69,1,0,0,0,0,0
70,0,2,0,0,0,0
72,0,0,0,0,0,1
74,0,1,0,0,0,0
75,1,0,0,0,0,2
79,0,0,1,0,0,0
80,0,0,0,0,0,1
81,0,0,0,0,0,2
82,0,0,0,1,0,0
84,0,0,0,0,0,1
86,0,0,0,0,2,0
87,2,1,0,0,0,3
88,0,0,1,0,0,0
89,0,0,2,0,0,1
90,0,0,0,0,0,1
92,0,0,0,0,1,0
93,0,0,0,3,0,1
94,0,0,0,0,0,1
97,0,1,0,0,0,0
99,1,0,0,0,0,0
115,0,0,0,0,1,0
120,0,0,2,0,0,0
154,0,0,1,0,0,0
155,0,0,0,0,1,0
164,0,0,0,1,0,0
176,0,1,0,0,0,0
181,0,0,0,0,0,1
211,0,0,0,1,0,0
260,0,0,1,0,0,0
296,0,0,1,0,0,0
