,OR1 LN,OR1 Spleen,OR2 LN,OR2 Spleen,OR3 LN,OR3 Spleen
IGHV1-18,2611,2649,12079,3269,7171,6324
IGHV1-2,20368,25128,25162,42821,40838,61235
IGHV1-24,13945,20598,23871,33646,32831,40447
IGHV1-3,1715,2702,5035,4162,4590,6460
IGHV1-45,21,43,42,44,81,95
IGHV1-46,6174,6870,10559,12927,23355,20850
IGHV1-58,608,1117,1881,2846,2159,2409
IGHV1-69,12101,8772,20493,10363,31975,23911
IGHV1-8,10627,16409,30352,23396,38663,41376
IGHV2-26,1075,336,465,361,525,610
IGHV2-5,901,1959,6771,3628,3448,5484
IGHV2-70,344,477,804,478,955,829
IGHV3-11,40477,27052,34552,46239,44879,77956
IGHV3-13,6865,6689,12100,24187,7183,13833
IGHV3-15,1518,1444,3248,1278,2100,4270
IGHV3-20,3130,1683,5738,2692,13778,4818
IGHV3-21,21881,18537,46105,30172,63543,50807
IGHV3-23,126338,199170,199712,316223,310707,502151
IGHV3-30,13708,12665,20458,11929,16721,18641
IGHV3-33,23053,16317,39217,14954,37232,25590
IGHV3-43,437,575,645,570,1156,1469
IGHV3-48,13207,10121,33533,21328,31867,30569
IGHV3-49,312,277,401,349,1422,965
IGHV3-53,30107,21349,30896,42446,39859,61639
IGHV3-64,637,600,9621,1920,9015,2849
IGHV3-66,126,307,196,430,302,910
IGHV3-7,14704,13661,21978,21512,16531,33276
IGHV3-72,4050,771,3749,1699,10215,2277
IGHV3-73,2221,974,2795,2178,4194,2880
IGHV3-74,29015,11175,28341,26744,43799,44967
IGHV3-9,28180,31920,45233,46224,56077,72215
IGHV4-28,1856,1357,2690,3950,3690,3442
IGHV4-31,12125,8281,11533,14877,16898,22397
IGHV4-34,151750,326361,161338,339947,223320,442477
IGHV4-39,112108,141360,112802,180917,132264,277570
IGHV4-4,5099,3025,6376,3154,3355,4334
IGHV4-59,30242,30031,60907,54334,73965,88530
IGHV4-61,22626,19509,22851,29409,27807,43863
IGHV5-51,58673,73519,50831,127715,115089,202990
IGHV6-1,95805,97975,110797,154710,179205,270868
IGHV7-4-1,6002,5112,2934,5180,10185,11094
